code,gndr,niveau_sekI,parental_edu,grade7,grade8,grade9,t4_2014,t4_2015,t5_2016,t6_2017,t7_2018
011FR16,2,2,0,2,2,2,99,99,99,99,99
011FR17,2,2,,2,2,2,5,5,99,8,8
011FR18,1,.m,,99,2,2,99,99,99,99,99
011FR19,1,.m,,99,2,2,99,99,99,99,99
011FR20,2,.m,,99,99,2,99,99,99,99,99
011GL01,1,1,0,1,1,99,99,99,99,99,99
011GL02,1,1,0,1,1,1,5,5,99,99,8
011GL03,1,1,0,1,1,1,99,99,5,5,99
011GL04,1,1,0,1,1,1,99,99,99,99,99
011GL05,1,1,0,1,1,1,99,99,5,99,99
011GL06,1,1,1,1,1,1,99,99,99,99,99
011GL07,1,1,0,1,1,1,99,99,99,99,99
011GL08,1,1,,1,1,1,5,5,99,99,99
011GL09,1,1,,1,1,1,99,99,99,99,99
011GL10,2,1,0,1,1,1,99,99,5,5,5
011GL11,1,1,0,1,1,1,5,5,99,7,8
011GL12,2,1,0,1,1,1,7,5,5,10,99
011GL13,2,1,0,1,1,1,5,5,5,8,8
011GL14,2,1,,1,1,1,5,5,5,98,8
011GL15,2,1,0,1,1,1,5,5,5,8,8
011GL16,1,1,0,1,1,1,5,5,99,99,99
011GL17,1,.m,,99,99,1,99,99,99,99,99
011GR01,1,1,0,1,1,99,99,99,99,99,99
011GR02,2,2,1,2,1,99,5,5,5,8,8
011GR03,1,2,0,2,1,99,99,99,99,99,99
011GR04,2,1,1,1,1,99,99,99,5,5,5
011GR05,1,1,1,1,1,99,99,99,99,99,99
011GR06,2,1,1,1,1,99,7,5,5,99,11
011GR07,1,1,0,1,1,99,99,99,5,99,7
011GR08,2,1,,1,1,99,7,7,7,5,5
011GR09,2,1,,1,1,99,7,5,5,99,8
011LU01,2,1,0,1,1,1,5,5,5,8,99
011LU02,2,1,0,1,1,1,99,99,99,99,99
011LU03,2,1,1,1,1,1,99,99,98,6,6
011LU04,1,1,0,1,1,1,5,5,5,5,5
011LU05,2,1,1,1,1,1,5,5,5,10,99
011LU06,2,1,0,1,1,1,5,5,5,5,99
011LU07,2,1,,1,1,1,5,5,99,99,8
011LU08,1,1,0,1,1,1,5,5,5,9,8
011LU09,1,1,,1,1,1,5,5,5,5,8
011LU10,2,1,,1,1,1,7,7,5,5,5
011LU11,1,1,0,1,1,1,5,5,5,8,7
011LU12,2,1,0,1,1,1,99,99,99,5,99
011LU13,1,1,,1,1,1,99,99,5,99,99
011LU14,2,1,,1,1,1,99,99,99,99,99
011LU15,2,1,0,1,1,1,7,5,5,9,9
011LU16,2,1,0,1,1,1,7,7,7,5,5
011LU17,1,1,0,1,1,1,99,99,99,99,99
011LU18,2,1,0,1,1,1,5,5,5,8,8
011LU19,2,1,,1,1,1,7,5,5,5,99
011LU20,2,1,1,1,1,1,99,99,99,99,99
011LU21,1,1,,1,1,1,7,5,5,7,99
011NW01,2,2,1,2,2,2,7,98,98,10,10
011NW02,2,2,0,2,2,2,5,5,5,8,8
011NW03,1,2,0,2,2,2,5,5,5,5,7
011NW04,1,2,0,2,2,2,6,6,6,7,7
011NW05,2,2,,2,2,2,99,99,5,99,8
011NW06,2,2,0,2,2,2,5,5,5,9,9
011NW07,2,2,0,2,2,2,5,5,5,8,8
011NW08,1,2,1,2,2,2,5,5,99,99,99
011NW09,2,2,0,2,2,2,5,5,5,8,8
011NW10,1,2,0,2,2,2,6,6,99,99,99
011NW11,2,2,0,2,2,2,5,5,6,8,8
011NW12,1,2,0,2,2,2,6,6,6,9,9
011NW13,1,2,0,2,2,2,5,5,5,99,98
011NW14,1,2,0,2,2,2,5,5,5,8,8
011NW15,1,2,0,2,2,2,5,5,5,5,7
011NW16,2,2,0,2,2,2,5,5,5,99,8
011NW17,2,.m,,99,2,2,5,5,5,8,8
011OW01,2,2,0,3,3,99,99,99,5,8,99
011OW02,2,2,,3,3,99,99,99,99,99,99
011OW03,1,2,0,3,3,3,6,6,6,8,8
011OW04,2,2,0,3,3,3,6,6,6,7,11
011OW05,2,2,1,3,3,3,6,6,6,99,99
011OW06,1,2,0,3,3,3,99,99,6,6,10
011OW07,1,2,0,3,3,3,6,6,6,7,7
011OW08,1,2,0,3,3,3,6,6,6,6,8
011OW09,2,2,0,3,3,3,6,6,6,8,11
011OW10,1,2,0,3,3,3,99,99,5,5,8
011OW11,2,2,1,3,3,3,6,6,6,7,11
011OW12,1,2,1,3,3,3,6,5,5,5,5
011OW13,1,2,0,3,3,3,6,6,6,7,11
011OW14,2,2,0,3,3,99,99,99,99,99,99
011OW15,2,2,0,3,3,3,7,98,99,99,11
011OW16,1,2,0,3,3,3,6,6,6,7,11
011OW17,2,2,,3,3,3,6,6,99,98,8
011OW18,1,2,0,3,3,3,6,6,6,7,7
011OW19,1,2,0,3,3,3,6,6,6,7,7
011OW20,1,.m,,99,2,3,6,6,7,5,5
011OW21,1,.m,,99,3,99,99,99,99,99,99
011OW22,2,.m,,99,3,3,6,6,6,7,11
011OW23,1,.m,,99,99,3,6,6,6,11,11
011SG01,1,1,1,1,1,99,99,99,99,99,99
011SG02,1,1,1,1,1,99,5,5,99,99,99
011SG03,1,1,1,1,1,99,99,99,99,99,99
011SG04,2,1,1,1,1,99,5,5,5,8,8
011SG05,2,1,1,1,1,99,5,5,5,8,8
011SG06,2,1,0,1,1,99,7,5,5,8,8
011SG07,2,1,,1,1,99,99,99,99,99,99
011SG08,2,1,1,1,1,99,99,99,99,99,99
011SG09,1,1,1,1,1,99,5,5,5,5,8
011SG10,2,1,1,1,1,99,5,5,99,99,99
011SG11,1,1,0,1,1,99,99,99,99,99,99
011SG12,2,1,1,1,1,99,7,5,5,5,8
011SG13,2,1,0,1,1,99,7,5,5,5,8
011SG14,1,1,1,1,1,99,99,99,99,99,99
011SG15,1,1,1,1,1,99,99,99,99,99,99
011SZ01,2,2,1,2,2,2,5,5,5,98,6
011SZ02,2,2,0,2,2,2,5,5,5,8,8
011SZ03,1,2,,2,2,2,5,5,5,5,7
011SZ04,1,2,0,2,2,2,5,5,5,9,8
011SZ05,2,2,0,2,2,2,5,5,5,8,8
011SZ06,1,2,0,2,2,2,5,5,5,5,9
011SZ07,2,2,0,2,2,2,5,5,5,99,8
011SZ08,2,2,0,2,2,99,99,99,6,9,8
011SZ09,2,2,0,2,2,2,7,5,5,5,8
011SZ10,1,2,0,2,2,2,5,5,99,8,8
011SZ11,2,2,0,2,2,2,99,99,5,5,5
011SZ12,2,2,1,2,2,2,99,99,99,99,99
